title;uri_info;uri_download;comment
International Comprehensive Ocean-Atmosphere Data Set;https://icoads.noaa.gov;https://data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.ncdc:C00606;The ICOADS contains O(500M) meteorological observations from ~1650 onwards. Issues include bad observation values, mis-positioned data, missing date/time information, supplemental data in a variety of formats, duplicates etc., recursive download
London Air;https://www.londonair.org.uk/london/asp/datadownload.asp;https://www.londonair.org.uk/london/asp/datadownload.asp;Lots of gaps (null/zero handling), outliers, date handling, pivots and time aggregation needed first! Web scraping
The Metropolitan Museum of Art Open Access;https://github.com/metmuseum/openaccess/;https://github.com/metmuseum/openaccess/;Missing values, inconsistent information, missing documentation, possible duplication, mixed text and numeric data.
Flourish OA;https://github.com/FlourishOA/Data;https://github.com/FlourishOA/Data;Scraped data, has some missing fields, possible duplication and some encoding issues (possibly multiple character encodings).
Register of UK Parliament Members’ Financial Interests;https://www.parliament.uk/mps-lords-and-offices/standards-and-financial-interests/parliamentary-commissioner-for-standards/registers-of-interests/register-of-members-financial-interests/;https://www.parliament.uk/mps-lords-and-offices/standards-and-financial-interests/parliamentary-commissioner-for-standards/registers-of-interests/register-of-members-financial-interests/;"single year is enough 
 Each member’s transactions are on a separate webpage with a different text format, with contributions listed under different headings (not necessarily one per line) and in different formats. Will take quite a bit of careful preprocessing to get into CSV or JSON format. 
 HELP: https://github.com/benscott/mp-financial-interests"
Hourly Weather Surface – Brazil (Southeast region);https://www.kaggle.com/PROPPG-PPG/hourly-weather-surface-brazil-southeast-region;https://www.kaggle.com/PROPPG-PPG/hourly-weather-surface-brazil-southeast-region;Can you predict the amount of rain? Temperature? NOTE: Not all weather stations started operating since 2000
World Development Indicators;https://www.kaggle.com/worldbank/world-development-indicators;https://www.kaggle.com/worldbank/world-development-indicators;intensive extrapolation and visualization. Inspiration from kaggle kernels is available. This means though that your results should be even more stunning
IRS;https://registry.opendata.aws/irs990/;https://registry.opendata.aws/irs990/;free text form. you do not need to download it completely. 100 MB are enough
GDELT;https://www.gdeltproject.org;https://registry.opendata.aws/gdelt/;very large, 100 mb are enough
UCI WESAB;https://archive.ics.uci.edu/ml/datasets/WESAD+%28Wearable+Stress+and+Affect+Detection%29;https://archive.ics.uci.edu/ml/datasets/WESAD+%28Wearable+Stress+and+Affect+Detection%29;time series
UCI KDD98;https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data;https://archive.ics.uci.edu/ml/datasets/KDD+Cup+1998+Data;synthetically genreate noise (missing values, wrong data type) and then try to clean it up again
Kaggle ;https://www.kaggle.com/c/porto-seguro-safe-driver-prediction/overview;https://www.kaggle.com/c/porto-seguro-safe-driver-prediction/data;No nulls, but outliers and bad data are still hidden
Stackoverflow developer survey;https://insights.stackoverflow.com/survey;https://insights.stackoverflow.com/survey;
USA Voting prediction;https://www.voterstudygroup.org/publication/2016-voter-survey;https://www.voterstudygroup.org/publication/2016-voter-survey;Alternatively choose Austria or Germany or another country. But then make sure that you quickly find a source where to get the data from. Other wise choose adifferent dataset
catholy nuns survey 1967: predict age based on religious beliefs;https://curate.nd.edu/show/0r967368551;https://curate.nd.edu/downloads/fn106w94g79;Survey needs cleanup, original questionnaire https://curate.nd.edu/downloads/0v838051f6x
Propose your own;;;If you have your own dataset, feel free to propose it, but make sure that you already know where to get it from. Otherwise choose one of the suggested ones.
